periodo,cmo,submercado
1,403.2173549645071,1
2,707.9265693658364,1
3,707.9265693658364,1
4,707.9265693658364,1
5,707.9265693658364,1
6,707.9265693658364,1
7,707.9265693658364,1
8,707.9265693658364,1
9,707.9265693658364,1
10,707.9265693658364,1
11,400.774070382585,1
12,400.774070382585,1
13,400.0,1
14,400.0,1
15,400.0,1
16,400.774070382585,1
17,400.774070382585,1
18,400.774070382585,1
19,707.9265693658364,1
20,707.9265693658364,1
21,707.9265693658364,1
22,707.9265693658364,1
23,707.9265693658364,1
24,707.9265693658364,1
25,707.9265693658364,1
26,707.9265693658364,1
27,707.9265693658364,1
28,707.9265693658364,1
29,707.9265693658364,1
30,707.9265693658364,1
31,707.9265693658364,1
32,707.9265693658364,1
33,707.9265693658364,1
34,707.9265693658364,1
35,707.9265693658364,1
36,707.9265693658364,1
37,400.0,1
38,707.9265693658364,1
39,400.0,1
40,400.0,1
41,400.0,1
42,707.9265693658364,1
43,707.9265693658364,1
44,707.9265693658364,1
45,707.9265693658364,1
46,707.9265693658364,1
47,707.9265693658364,1
48,707.9265693658364,1
49,707.9265693658364,1
50,707.9265693658364,1
51,707.9265693658364,1
52,707.9265693658364,1
53,707.9265693658364,1
54,707.9265693658364,1
55,707.9265693658364,1
56,707.9265693658364,1
57,707.9265693658364,1
58,707.9265693658364,1
59,400.774070382585,1
60,400.774070382585,1
61,400.774070382585,1
62,400.774070382585,1
63,400.774070382585,1
64,400.774070382585,1
65,400.774070382585,1
66,400.774070382585,1
67,707.9265693658364,1
68,707.9265693658364,1
69,707.9265693658364,1
70,707.9265693658364,1
71,707.9265693658364,1
72,707.9265693658364,1
73,707.9265693658364,1
74,707.9265693658364,1
75,707.9265693658364,1
76,707.9265693658364,1
77,707.9265693658364,1
78,707.9265693658364,1
79,707.9265693658364,1
80,707.9265693658364,1
81,707.9265693658364,1
82,707.9265693658364,1
83,400.774070382585,1
84,400.774070382585,1
85,400.774070382585,1
86,400.774070382585,1
87,400.774070382585,1
88,400.774070382585,1
89,400.774070382585,1
90,400.774070382585,1
91,707.9265693658364,1
92,707.9265693658364,1
93,707.9265693658364,1
94,707.9265693658364,1
95,707.9265693658364,1
96,707.9265693658364,1
97,707.9265693658364,1
98,707.9265693658364,1
99,707.9265693658364,1
100,707.9265693658364,1
101,707.9265693658364,1
102,707.9265693658364,1
103,707.9265693658364,1
104,707.9265693658364,1
105,707.9265693658364,1
106,400.774070382585,1
107,400.774070382585,1
108,400.774070382585,1
109,400.774070382585,1
110,400.774070382585,1
111,400.774070382585,1
112,400.774070382585,1
113,400.774070382585,1
114,400.774070382585,1
115,707.9265693658364,1
116,707.9265693658364,1
117,707.9265693658364,1
118,707.9265693658364,1
119,707.9265693658364,1
120,707.9265693658364,1
121,707.9265693658364,1
122,707.9265693658364,1
123,707.9265693658364,1
124,707.9265693658364,1
125,707.9265693658364,1
126,707.9265693658364,1
127,707.9265693658364,1
128,707.9265693658364,1
129,707.9265693658364,1
130,400.774070382585,1
131,400.774070382585,1
132,400.774070382585,1
133,400.774070382585,1
134,400.774070382585,1
135,400.774070382585,1
136,400.774070382585,1
137,400.774070382585,1
138,707.9265693658364,1
139,707.9265693658364,1
140,707.9265693658364,1
141,707.9265693658364,1
142,707.9265693658364,1
143,707.9265693658364,1
144,707.9265693658364,1
145,707.9265693658364,1
146,707.9265693658364,1
147,707.9265693658364,1
148,707.9265693658364,1
149,707.9265693658364,1
150,707.9265693658364,1
151,707.9265693658364,1
152,707.9265693658364,1
153,707.9265693658364,1
154,707.9265693658364,1
155,707.9265693658364,1
156,707.9265693658364,1
157,707.9265693658364,1
158,707.9265693658364,1
159,400.774070382585,1
160,400.774070382585,1
161,400.774070382585,1
162,707.9265693658364,1
163,707.9265693658364,1
164,707.9265693658364,1
165,707.9265693658364,1
166,707.9265693658364,1
167,707.9265693658364,1
168,707.9265693658364,1
