periodo,nome,variavel,valor
59,TUCURUI,volume armazenado,45352.36068961903
60,FURNAS,volume armazenado,22568.769160085245
60,TUCURUI,volume armazenado,45530.69611614297
61,FURNAS,volume armazenado,22377.660060127866
61,TUCURUI,volume armazenado,45823.229728009064
62,FURNAS,volume armazenado,22186.389392170488
62,TUCURUI,volume armazenado,46061.06196381018
63,FURNAS,volume armazenado,21995.10077221311
63,TUCURUI,volume armazenado,46254.500944611405
64,FURNAS,volume armazenado,21803.004312255733
64,TUCURUI,volume armazenado,46416.45813006545
65,FURNAS,volume armazenado,21609.615308398355
65,TUCURUI,volume armazenado,46488.70214757305
66,FURNAS,volume armazenado,21415.27484844098
66,TUCURUI,volume armazenado,46481.52499852486
67,FURNAS,volume armazenado,21540.43518644524
67,TUCURUI,volume armazenado,45779.633734794064
68,FURNAS,volume armazenado,21346.292198587864
68,TUCURUI,volume armazenado,45508.14238061283
69,FURNAS,volume armazenado,21355.088779389884
69,TUCURUI,volume armazenado,44981.10692187838
70,FURNAS,volume armazenado,21479.136093394147
70,TUCURUI,volume armazenado,44323.462437204194
71,FURNAS,volume armazenado,21620.426806396277
71,TUCURUI,volume armazenado,43705.974562273164
72,FURNAS,volume armazenado,21761.250767398407
72,TUCURUI,volume armazenado,43187.09239062202
73,FURNAS,volume armazenado,21901.51821640054
73,TUCURUI,volume armazenado,42673.66885331771
74,FURNAS,volume armazenado,21881.11971442185
74,TUCURUI,volume armazenado,42464.01697617469
75,FURNAS,volume armazenado,22036.943074421848
75,TUCURUI,volume armazenado,42062.107240730336
76,FURNAS,volume armazenado,22193.34089852185
76,TUCURUI,volume armazenado,41691.90182061371
77,FURNAS,volume armazenado,22350.331138521848
77,TUCURUI,volume armazenado,41327.10283229583
78,FURNAS,volume armazenado,22507.518850521847
78,TUCURUI,volume armazenado,40936.89298490086
79,FURNAS,volume armazenado,22647.247739523977
79,TUCURUI,volume armazenado,40549.52120771813
80,FURNAS,volume armazenado,22787.604948526106
80,TUCURUI,volume armazenado,40275.71847563794
81,FURNAS,volume armazenado,22883.748479944363
81,TUCURUI,volume armazenado,40043.86063182037
82,FURNAS,volume armazenado,22950.0
82,TUCURUI,volume armazenado,39812.31299850279
83,FURNAS,volume armazenado,22754.15157204262
83,TUCURUI,volume armazenado,39872.148559657115
84,FURNAS,volume armazenado,22558.913512085244
84,TUCURUI,volume armazenado,39995.5213992112
85,FURNAS,volume armazenado,22363.765212227867
85,TUCURUI,volume armazenado,40076.40541715258
86,FURNAS,volume armazenado,22169.29908827049
86,TUCURUI,volume armazenado,40056.58713242802
87,FURNAS,volume armazenado,21975.910084413114
87,TUCURUI,volume armazenado,39971.930243926
88,FURNAS,volume armazenado,21782.054328455735
88,TUCURUI,volume armazenado,39878.20311926543
89,FURNAS,volume armazenado,21587.265068498356
89,TUCURUI,volume armazenado,39734.19480993894
90,FURNAS,volume armazenado,21391.48844864098
90,TUCURUI,volume armazenado,39588.7209314751
91,FURNAS,volume armazenado,21531.46866564311
91,TUCURUI,volume armazenado,38744.00440399056
92,FURNAS,volume armazenado,21670.766706745242
92,TUCURUI,volume armazenado,37894.54091367664
93,FURNAS,volume armazenado,21828.133938745243
93,TUCURUI,volume armazenado,37035.806712724756
94,FURNAS,volume armazenado,21986.416722845242
94,TUCURUI,volume armazenado,36187.41230189035
95,FURNAS,volume armazenado,22144.573842945243
95,TUCURUI,volume armazenado,35398.44018200794
96,FURNAS,volume armazenado,22302.55144294524
96,TUCURUI,volume armazenado,34697.30625774369
97,FURNAS,volume armazenado,22283.122348966554
97,TUCURUI,volume armazenado,34377.45171138115
98,FURNAS,volume armazenado,22086.322465009176
98,TUCURUI,volume armazenado,34392.60641720835
99,FURNAS,volume armazenado,21888.8583570518
99,TUCURUI,volume armazenado,34464.645440877975
100,FURNAS,volume armazenado,22011.16432705606
100,TUCURUI,volume armazenado,34118.32043171596
101,FURNAS,volume armazenado,22134.17042506032
101,TUCURUI,volume armazenado,33777.0506616291
102,FURNAS,volume armazenado,21939.309357102942
102,TUCURUI,volume armazenado,33844.62058857344
103,FURNAS,volume armazenado,21745.327937145565
103,TUCURUI,volume armazenado,33874.24772495607
104,FURNAS,volume armazenado,21870.937075149828
