periodo,submercado,nome,geracao
1,2,CAMARGOS,23.0
1,2,CAMARGOS,23.0
1,2,ITUTINGA,12.499999999999561
1,2,ITUTINGA,12.5
1,2,ITUTINGA,14.0
1,2,ITUTINGA,14.0
1,2,FUNIL_GRANDE,60.0
1,2,FUNIL_GRANDE,60.0
1,2,FUNIL_GRANDE,60.0
1,2,FURNAS,152.0
1,2,FURNAS,0.0
1,2,FURNAS,115.96321820000036
1,2,FURNAS,0.0
1,2,FURNAS,0.0
1,2,FURNAS,152.0
1,2,FURNAS,0.0
1,2,FURNAS,0.0
2,2,CAMARGOS,23.0
2,2,CAMARGOS,23.0
2,2,ITUTINGA,12.499999999996518
2,2,ITUTINGA,12.5
2,2,ITUTINGA,14.0
2,2,ITUTINGA,14.0
2,2,FUNIL_GRANDE,60.0
2,2,FUNIL_GRANDE,60.0
2,2,FUNIL_GRANDE,60.0
2,2,FURNAS,152.0
2,2,FURNAS,0.0
2,2,FURNAS,152.0
2,2,FURNAS,0.0
2,2,FURNAS,0.0
2,2,FURNAS,90.69704480000355
2,2,FURNAS,0.0
2,2,FURNAS,0.0
3,2,CAMARGOS,22.999999999999993
3,2,CAMARGOS,22.99999999999999
3,2,ITUTINGA,12.5
3,2,ITUTINGA,12.5
3,2,ITUTINGA,14.0
3,2,ITUTINGA,14.0
3,2,FUNIL_GRANDE,60.0
3,2,FUNIL_GRANDE,60.0
3,2,FUNIL_GRANDE,60.0
3,2,FURNAS,71.57635489999997
3,2,FURNAS,0.0
3,2,FURNAS,152.0
3,2,FURNAS,0.0
3,2,FURNAS,0.0
3,2,FURNAS,152.0
3,2,FURNAS,0.0
3,2,FURNAS,0.0
4,2,CAMARGOS,23.000000000000004
4,2,CAMARGOS,23.000000000000018
4,2,ITUTINGA,12.5
4,2,ITUTINGA,12.5
4,2,ITUTINGA,14.0
4,2,ITUTINGA,14.0
4,2,FUNIL_GRANDE,60.0
4,2,FUNIL_GRANDE,60.0
4,2,FUNIL_GRANDE,60.0
4,2,FURNAS,55.8135065
4,2,FURNAS,0.0
4,2,FURNAS,152.0
4,2,FURNAS,0.0
4,2,FURNAS,0.0
4,2,FURNAS,152.0
4,2,FURNAS,0.0
4,2,FURNAS,0.0
5,2,CAMARGOS,23.000000000000004
5,2,CAMARGOS,23.000000000000014
5,2,ITUTINGA,12.5
5,2,ITUTINGA,12.5
5,2,ITUTINGA,14.0
5,2,ITUTINGA,14.0
5,2,FUNIL_GRANDE,60.0
5,2,FUNIL_GRANDE,60.0
5,2,FUNIL_GRANDE,60.0
5,2,FURNAS,42.876313399999944
5,2,FURNAS,0.0
5,2,FURNAS,152.0
5,2,FURNAS,0.0
5,2,FURNAS,0.0
5,2,FURNAS,152.0
5,2,FURNAS,0.0
5,2,FURNAS,0.0
6,2,CAMARGOS,23.0
6,2,CAMARGOS,23.00000000000002
6,2,ITUTINGA,12.500000000000002
6,2,ITUTINGA,12.5
6,2,ITUTINGA,14.0
6,2,ITUTINGA,14.0
6,2,FUNIL_GRANDE,60.0
6,2,FUNIL_GRANDE,60.0
6,2,FUNIL_GRANDE,60.0
6,2,FURNAS,0.0
6,2,FURNAS,0.0
6,2,FURNAS,34.50071630000002
6,2,FURNAS,152.0
6,2,FURNAS,0.0
6,2,FURNAS,152.0
6,2,FURNAS,0.0
6,2,FURNAS,0.0
7,2,CAMARGOS,22.999999999999996
7,2,CAMARGOS,23.00000000000002
7,2,ITUTINGA,12.5
7,2,ITUTINGA,12.5
7,2,ITUTINGA,14.0
7,2,ITUTINGA,14.0
7,2,FUNIL_GRANDE,60.0
7,2,FUNIL_GRANDE,60.0
7,2,FUNIL_GRANDE,60.0
7,2,FURNAS,0.0
7,2,FURNAS,0.0
7,2,FURNAS,29.25488089999996
7,2,FURNAS,152.0
7,2,FURNAS,0.0
7,2,FURNAS,152.0
7,2,FURNAS,0.0
7,2,FURNAS,0.0
8,2,CAMARGOS,23.0
8,2,CAMARGOS,22.999999999999986
8,2,ITUTINGA,12.5
8,2,ITUTINGA,12.5
8,2,ITUTINGA,14.0
8,2,ITUTINGA,14.0
8,2,FUNIL_GRANDE,60.0
8,2,FUNIL_GRANDE,60.0
8,2,FUNIL_GRANDE,60.0
8,2,FURNAS,0.0
8,2,FURNAS,27.34154480000008
8,2,FURNAS,0.0
8,2,FURNAS,152.0
8,2,FURNAS,0.0
8,2,FURNAS,152.0
8,2,FURNAS,0.0
8,2,FURNAS,0.0
9,2,CAMARGOS,22.99999999999999
9,2,CAMARGOS,23.000000000000004
9,2,ITUTINGA,12.499999999999993
9,2,ITUTINGA,12.5
9,2,ITUTINGA,14.0
9,2,ITUTINGA,14.0
9,2,FUNIL_GRANDE,60.0
9,2,FUNIL_GRANDE,60.0
9,2,FUNIL_GRANDE,60.0
9,2,FURNAS,0.0
9,2,FURNAS,30.71205740000007
9,2,FURNAS,0.0
9,2,FURNAS,152.0
9,2,FURNAS,0.0
9,2,FURNAS,152.0
9,2,FURNAS,0.0
9,2,FURNAS,0.0
10,2,CAMARGOS,22.99999999999999
10,2,CAMARGOS,23.000000000000004
10,2,ITUTINGA,12.5
10,2,ITUTINGA,12.5
10,2,ITUTINGA,14.0
10,2,ITUTINGA,13.99999999999558
10,2,FUNIL_GRANDE,60.0
10,2,FUNIL_GRANDE,60.0
10,2,FUNIL_GRANDE,59.999999999999986
10,2,FURNAS,0.0
10,2,FURNAS,34.956875900004434
10,2,FURNAS,0.0
10,2,FURNAS,152.0
10,2,FURNAS,0.0
10,2,FURNAS,152.0
10,2,FURNAS,0.0
10,2,FURNAS,0.0
11,2,CAMARGOS,23.0
11,2,CAMARGOS,23.000000000000004
11,2,ITUTINGA,12.5
11,2,ITUTINGA,12.5
11,2,ITUTINGA,14.0
11,2,ITUTINGA,14.0
11,2,FUNIL_GRANDE,60.0
11,2,FUNIL_GRANDE,60.0
11,2,FUNIL_GRANDE,60.0
11,2,FURNAS,49.338574399999956
11,2,FURNAS,152.0
11,2,FURNAS,0.0
11,2,FURNAS,152.0
11,2,FURNAS,0.0
11,2,FURNAS,0.0
11,2,FURNAS,0.0
11,2,FURNAS,0.0
12,2,CAMARGOS,22.999999999999975
12,2,CAMARGOS,23.000000000000025
12,2,ITUTINGA,12.5
12,2,ITUTINGA,12.5
12,2,ITUTINGA,14.0
12,2,ITUTINGA,14.0
12,2,FUNIL_GRANDE,60.0
12,2,FUNIL_GRANDE,60.0
12,2,FUNIL_GRANDE,60.000000000000014
12,2,FURNAS,71.98183009999991
12,2,FURNAS,152.0
12,2,FURNAS,0.0
12,2,FURNAS,152.0
12,2,FURNAS,0.0
12,2,FURNAS,0.0
12,2,FURNAS,0.0
12,2,FURNAS,0.0
13,2,CAMARGOS,23.000000000000004
13,2,CAMARGOS,23.000000000000007
13,2,ITUTINGA,12.5
13,2,ITUTINGA,12.5
13,2,ITUTINGA,14.0
13,2,ITUTINGA,14.0
13,2,FUNIL_GRANDE,60.0
