periodo,nome,variavel,valor
34,CAMARGOS,volume armazenado,709.7777777777768
34,ITUTINGA,volume armazenado,11.0
34,FUNIL_GRANDE,volume armazenado,304.0
34,FURNAS,volume armazenado,9596.34737911111
35,CAMARGOS,volume armazenado,668.6666666666657
35,ITUTINGA,volume armazenado,11.0
35,FUNIL_GRANDE,volume armazenado,304.0
35,FURNAS,volume armazenado,9546.678331555555
36,CAMARGOS,volume armazenado,627.5555555555546
36,ITUTINGA,volume armazenado,11.0
36,FUNIL_GRANDE,volume armazenado,304.0
36,FURNAS,volume armazenado,9490.603339
37,CAMARGOS,volume armazenado,586.4444444444435
37,ITUTINGA,volume armazenado,11.0
37,FUNIL_GRANDE,volume armazenado,304.0
37,FURNAS,volume armazenado,9414.97261544444
38,CAMARGOS,volume armazenado,545.3333333333325
38,ITUTINGA,volume armazenado,11.0
38,FUNIL_GRANDE,volume armazenado,304.0
38,FURNAS,volume armazenado,9343.233934444444
39,CAMARGOS,volume armazenado,504.2222222222214
39,ITUTINGA,volume armazenado,11.0
39,FUNIL_GRANDE,volume armazenado,304.0
39,FURNAS,volume armazenado,9255.456156666667
40,CAMARGOS,volume armazenado,463.1111111111103
40,ITUTINGA,volume armazenado,11.0
40,FUNIL_GRANDE,volume armazenado,304.0
40,FURNAS,volume armazenado,9255.13938588889
41,CAMARGOS,volume armazenado,421.9999999999992
41,ITUTINGA,volume armazenado,11.0
41,FUNIL_GRANDE,volume armazenado,304.0
41,FURNAS,volume armazenado,9271.182413111112
42,CAMARGOS,volume armazenado,380.8888888888881
42,ITUTINGA,volume armazenado,11.0
42,FUNIL_GRANDE,volume armazenado,304.0
42,FURNAS,volume armazenado,9295.729156333333
43,CAMARGOS,volume armazenado,339.77777777777703
43,ITUTINGA,volume armazenado,11.0
43,FUNIL_GRANDE,volume armazenado,304.0
43,FURNAS,volume armazenado,8720.146408444445
44,CAMARGOS,volume armazenado,298.66666666666595
44,ITUTINGA,volume armazenado,11.0
44,FUNIL_GRANDE,volume armazenado,304.0
44,FURNAS,volume armazenado,8070.992723666668
45,CAMARGOS,volume armazenado,249.99999999999903
45,ITUTINGA,volume armazenado,11.0
45,FUNIL_GRANDE,volume armazenado,304.0
45,FURNAS,volume armazenado,7457.491411000002
46,CAMARGOS,volume armazenado,206.6666666666667
46,ITUTINGA,volume armazenado,11.0
46,FUNIL_GRANDE,volume armazenado,304.0
46,FURNAS,volume armazenado,6853.921008666666
47,CAMARGOS,volume armazenado,163.33333333333334
47,ITUTINGA,volume armazenado,11.0
47,FUNIL_GRANDE,volume armazenado,304.0
47,FURNAS,volume armazenado,6277.565313333332
48,CAMARGOS,volume armazenado,120.0
48,ITUTINGA,volume armazenado,11.0
48,FUNIL_GRANDE,volume armazenado,304.0
48,FURNAS,volume armazenado,5733.0
0,CAMARGOS,volume vertido,-
0,ITUTINGA,volume vertido,-
0,FUNIL_GRANDE,volume vertido,-
0,FURNAS,volume vertido,-
1,CAMARGOS,volume vertido,43.174686888889084
1,ITUTINGA,volume vertido,135.3969091111118
1,FUNIL_GRANDE,volume vertido,94.28579800000017
1,FURNAS,volume vertido,0.0
2,CAMARGOS,volume vertido,306.4764242222223
2,ITUTINGA,volume vertido,398.6986464444484
2,FUNIL_GRANDE,volume vertido,357.5875353333334
2,FURNAS,volume vertido,0.0
3,CAMARGOS,volume vertido,0.0
3,ITUTINGA,volume vertido,92.2222222222222
3,FUNIL_GRANDE,volume vertido,51.11111111111107
3,FURNAS,volume vertido,0.0
4,CAMARGOS,volume vertido,0.0
4,ITUTINGA,volume vertido,92.22222222222224
4,FUNIL_GRANDE,volume vertido,51.111111111111114
4,FURNAS,volume vertido,0.0
5,CAMARGOS,volume vertido,0.0
5,ITUTINGA,volume vertido,92.22222222222224
5,FUNIL_GRANDE,volume vertido,51.111111111111114
5,FURNAS,volume vertido,0.0
6,CAMARGOS,volume vertido,0.0
6,ITUTINGA,volume vertido,92.22222222222224
6,FUNIL_GRANDE,volume vertido,51.11111111111113
6,FURNAS,volume vertido,0.0
7,CAMARGOS,volume vertido,0.0
7,ITUTINGA,volume vertido,92.22222222222226
7,FUNIL_GRANDE,volume vertido,51.11111111111113
7,FURNAS,volume vertido,0.0
8,CAMARGOS,volume vertido,0.0
8,ITUTINGA,volume vertido,92.22222222222221
8,FUNIL_GRANDE,volume vertido,51.111111111111086
8,FURNAS,volume vertido,0.0
9,CAMARGOS,volume vertido,48.88888888888913
9,ITUTINGA,volume vertido,141.11111111111134
9,FUNIL_GRANDE,volume vertido,100.0000000000002
9,FURNAS,volume vertido,0.0
10,CAMARGOS,volume vertido,605.4597362222175
10,ITUTINGA,volume vertido,697.6819584444447
10,FUNIL_GRANDE,volume vertido,656.5708473333289
10,FURNAS,volume vertido,0.0
11,CAMARGOS,volume vertido,0.0
11,ITUTINGA,volume vertido,92.22222222222223
11,FUNIL_GRANDE,volume vertido,51.111111111111114
11,FURNAS,volume vertido,0.0
12,CAMARGOS,volume vertido,0.0
12,ITUTINGA,volume vertido,92.22222222222223
12,FUNIL_GRANDE,volume vertido,51.1111111111111
12,FURNAS,volume vertido,0.0
13,CAMARGOS,volume vertido,0.0
13,ITUTINGA,volume vertido,92.22222222222223
13,FUNIL_GRANDE,volume vertido,51.11111111111113
13,FURNAS,volume vertido,0.0
14,CAMARGOS,volume vertido,0.0
14,ITUTINGA,volume vertido,92.2222222222223
14,FUNIL_GRANDE,volume vertido,51.11111111111114
14,FURNAS,volume vertido,0.0
15,CAMARGOS,volume vertido,0.0
15,ITUTINGA,volume vertido,92.22222222222231
15,FUNIL_GRANDE,volume vertido,51.111111111111185
15,FURNAS,volume vertido,0.0
16,CAMARGOS,volume vertido,0.0
16,ITUTINGA,volume vertido,92.2222222222222
16,FUNIL_GRANDE,volume vertido,51.11111111111107
16,FURNAS,volume vertido,0.0
17,CAMARGOS,volume vertido,185.20573688888896
17,ITUTINGA,volume vertido,277.42795911111114
