periodo,submercado,posto,nome,geracao
63,1,2,EOL2,6.347371162
63,1,3,SOLAR,235.4966693
64,1,1,EOL1,16.46152704
64,1,2,EOL2,6.531352936
64,1,3,SOLAR,218.0184007
65,1,1,EOL1,24.69229056
65,1,2,EOL2,7.727234458
65,1,3,SOLAR,158.2243247
66,1,1,EOL1,51.80539394
66,1,2,EOL2,8.18718889
66,1,3,SOLAR,47.37530652
67,1,1,EOL1,83.76012288
67,1,2,EOL2,9.659043072
67,1,3,SOLAR,0.459954431
68,1,1,EOL1,96.832512
68,1,2,EOL2,14.16659651
68,1,3,SOLAR,0.0
69,1,1,EOL1,95.86418688
69,1,2,EOL2,18.85813171
69,1,3,SOLAR,0.0
70,1,1,EOL1,90.53839872
70,1,2,EOL2,22.26179451
70,1,3,SOLAR,0.0
71,1,1,EOL1,88.11758592
71,1,2,EOL2,25.29749377
71,1,3,SOLAR,0.0
72,1,1,EOL1,87.1492608
72,1,2,EOL2,25.29749377
72,1,3,SOLAR,0.0
73,1,1,EOL1,87.63342336
73,1,2,EOL2,31.73685581
73,1,3,SOLAR,0.0
74,1,1,EOL1,83.76012288
74,1,2,EOL2,35.60047303
74,1,3,SOLAR,0.0
75,1,1,EOL1,81.33931008
75,1,2,EOL2,38.72816317
75,1,3,SOLAR,0.0
76,1,1,EOL1,81.82347264
76,1,2,EOL2,40.47599003
76,1,3,SOLAR,0.0
77,1,1,EOL1,85.69677312
77,1,2,EOL2,41.30390801
77,1,3,SOLAR,0.0
78,1,1,EOL1,85.69677312
78,1,2,EOL2,41.21191709
78,1,3,SOLAR,0.0
79,1,1,EOL1,75.52935936
79,1,2,EOL2,39.92404471
79,1,3,SOLAR,23.45767603
80,1,1,EOL1,65.84610814
80,1,2,EOL2,36.98033633
80,1,3,SOLAR,159.1442334
81,1,1,EOL1,61.00448256
81,1,2,EOL2,31.46088315
81,1,3,SOLAR,231.3570794
82,1,1,EOL1,45.02711808
82,1,2,EOL2,24.65355756
82,1,3,SOLAR,244.6957577
83,1,1,EOL1,29.53391616
83,1,2,EOL2,17.84623197
83,1,3,SOLAR,247.9154389
84,1,1,EOL1,20.33482752
84,1,2,EOL2,11.68284257
84,1,3,SOLAR,244.2358034
85,1,1,EOL1,12.58822657
85,1,2,EOL2,7.91121623
85,1,3,SOLAR,227.2174895
86,1,1,EOL1,8.71492608
86,1,2,EOL2,6.89931648
86,1,3,SOLAR,207.8994033
87,1,1,EOL1,8.71492608
87,1,2,EOL2,7.083298253
87,1,3,SOLAR,200.0801779
88,1,1,EOL1,10.65157632
88,1,2,EOL2,7.175289139
88,1,3,SOLAR,198.2403603
89,1,1,EOL1,17.91401472
89,1,2,EOL2,7.91121623
89,1,3,SOLAR,154.5446892
90,1,1,EOL1,44.05879294
90,1,2,EOL2,8.831125094
90,1,3,SOLAR,54.73457739
91,1,1,EOL1,76.01352192
91,1,2,EOL2,11.13089725
91,1,3,SOLAR,0.459954431
92,1,1,EOL1,88.60174848
92,1,2,EOL2,15.08650538
92,1,3,SOLAR,0.0
93,1,1,EOL1,84.728448
93,1,2,EOL2,19.13410438
93,1,3,SOLAR,0.0
94,1,1,EOL1,80.37098496
94,1,2,EOL2,21.52586742
94,1,3,SOLAR,0.0
95,1,1,EOL1,79.40265984
95,1,2,EOL2,22.26179451
95,1,3,SOLAR,0.0
96,1,1,EOL1,76.49768448
96,1,2,EOL2,20.05401325
96,1,3,SOLAR,0.0
97,1,1,EOL1,72.14022144
97,1,2,EOL2,27.7812477
97,1,3,SOLAR,0.0
98,1,1,EOL1,69.23524608
98,1,2,EOL2,33.57667355
98,1,3,SOLAR,0.0
99,1,1,EOL1,70.68773376
99,1,2,EOL2,37.53228166
99,1,3,SOLAR,0.0
100,1,1,EOL1,77.4660096
100,1,2,EOL2,38.72816317
100,1,3,SOLAR,0.0
101,1,1,EOL1,84.728448
101,1,2,EOL2,39.37209939
