Angra1;Termoceara1;Termoceara2;Termoceara3;Termoceara4
122;40;50;50;50
212;;80;120;125
302;;;;160
392;;;;
482;;;;
490;;;;
499;;;;
508;;;;
517;;;;
520;;;;
