codigo;nome;volume_inicial;vmin;vmax;tipo;jusante;posto
1;CAMARGOS;750.54;120;792;RV;ITUTINGA;1
2;ITUTINGA;11;11;11;FD;FUNIL_GRANDE;1
4;FUNIL_GRANDE;304;304;304;FD;FURNAS;1
6;FURNAS;5805.34;5733;22950;RV;-;1
