periodo,nome,variavel,valor
59,TUCURUI,volume armazenado,36738.38505064283
60,FURNAS,volume armazenado,21225.209212751357
60,TUCURUI,volume armazenado,36556.41969562429
61,FURNAS,volume armazenado,21034.100112793978
61,TUCURUI,volume armazenado,36357.634059932454
62,FURNAS,volume armazenado,20842.8294448366
62,TUCURUI,volume armazenado,36104.14704817565
63,FURNAS,volume armazenado,20653.608718592663
63,TUCURUI,volume armazenado,35819.74038757554
64,FURNAS,volume armazenado,20489.055721422228
64,TUCURUI,volume armazenado,35533.58879257543
65,FURNAS,volume armazenado,20295.66671756485
65,TUCURUI,volume armazenado,35291.72259357543
66,FURNAS,volume armazenado,20101.326257607474
66,TUCURUI,volume armazenado,35009.80124957543
67,FURNAS,volume armazenado,19907.380741650097
67,TUCURUI,volume armazenado,34728.73298457543
68,FURNAS,volume armazenado,19713.23775379272
68,TUCURUI,volume armazenado,34447.23818007543
69,FURNAS,volume armazenado,19518.96910193534
69,TUCURUI,volume armazenado,34165.47194137543
70,FURNAS,volume armazenado,19323.910561977962
70,TUCURUI,volume armazenado,33881.999544575425
71,FURNAS,volume armazenado,19128.367318020584
71,TUCURUI,volume armazenado,33539.7417562903
72,FURNAS,volume armazenado,19091.910249044027
72,TUCURUI,volume armazenado,33322.04329165475
73,FURNAS,volume armazenado,19054.89666806747
73,TUCURUI,volume armazenado,33111.20921694229
74,FURNAS,volume armazenado,19016.770063090913
74,TUCURUI,volume armazenado,32979.232753842174
75,FURNAS,volume armazenado,18984.59342309091
75,TUCURUI,volume armazenado,32677.096189616874
76,FURNAS,volume armazenado,18952.991247190912
76,TUCURUI,volume armazenado,32379.798633964034
77,FURNAS,volume armazenado,18921.98148719091
77,TUCURUI,volume armazenado,32094.524132447874
78,FURNAS,volume armazenado,18891.16919919091
78,TUCURUI,volume armazenado,31795.334568522572
79,FURNAS,volume armazenado,18853.617058214353
79,TUCURUI,volume armazenado,31699.357071797232
80,FURNAS,volume armazenado,18823.702370214352
80,TUCURUI,volume armazenado,31467.615556879657
81,FURNAS,volume armazenado,18786.724693337794
81,TUCURUI,volume armazenado,31453.684543678544
82,FURNAS,volume armazenado,18749.890632361235
82,TUCURUI,volume armazenado,31352.752832522794
83,FURNAS,volume armazenado,18713.595131384678
83,TUCURUI,volume armazenado,31155.792200286844
84,FURNAS,volume armazenado,18518.3570714273
84,TUCURUI,volume armazenado,31115.39195732162
85,FURNAS,volume armazenado,18323.208771569924
85,TUCURUI,volume armazenado,31032.502892743694
86,FURNAS,volume armazenado,18128.742647612547
