codigo;nome;pmin;pmax;Ton;Toff;Status_inicial;ton/toff_inicial;custo;barra;Submercado
1;Termorio_Unidade6;587;671;82;48;0;500;381.22;7;1
2;Termomacae_Unidade14;560;630;6;6;0;500;909.05;1;1
