periodo,nome,variavel,valor
60,TUCURUI,volume armazenado,45137.588694959384
61,FURNAS,volume armazenado,22950.0
61,TUCURUI,volume armazenado,44997.996992090826
62,FURNAS,volume armazenado,22950.0
62,TUCURUI,volume armazenado,44803.47704204825
63,FURNAS,volume armazenado,22758.711380042623
63,TUCURUI,volume armazenado,44833.14294033018
64,FURNAS,volume armazenado,22733.176980042623
64,TUCURUI,volume armazenado,44597.44335796728
65,FURNAS,volume armazenado,22673.913710366476
65,TUCURUI,volume armazenado,44317.57715896728
66,FURNAS,volume armazenado,22558.60217907933
66,TUCURUI,volume armazenado,44035.65581496728
67,FURNAS,volume armazenado,22408.008815576613
67,TUCURUI,volume armazenado,43754.58754996728
68,FURNAS,volume armazenado,22260.194630285423
68,TUCURUI,volume armazenado,43473.09274546728
69,FURNAS,volume armazenado,22166.064404035234
69,TUCURUI,volume armazenado,43145.40027220033
70,FURNAS,volume armazenado,22090.459356059924
70,TUCURUI,volume armazenado,42816.001640833376
71,FURNAS,volume armazenado,22061.452350763375
71,TUCURUI,volume armazenado,42485.55604886643
72,FURNAS,volume armazenado,22073.30027921809
72,TUCURUI,volume armazenado,42200.028507066425
73,FURNAS,volume armazenado,22090.33628404261
73,TUCURUI,volume armazenado,41913.298899366426
74,FURNAS,volume armazenado,22164.130438571538
74,TUCURUI,volume armazenado,41624.165159866425
75,FURNAS,volume armazenado,22251.18083571545
75,TUCURUI,volume armazenado,41370.743617466425
76,FURNAS,volume armazenado,22362.396730085915
76,TUCURUI,volume armazenado,41118.56291726643
77,FURNAS,volume armazenado,22481.856060356902
77,TUCURUI,volume armazenado,40867.661835666426
78,FURNAS,volume armazenado,22582.01657039354
78,TUCURUI,volume armazenado,40617.18729356643
79,FURNAS,volume armazenado,22642.116335918763
79,TUCURUI,volume armazenado,40384.08860744885
80,FURNAS,volume armazenado,22779.39758127308
80,TUCURUI,volume armazenado,40152.34709253127
81,FURNAS,volume armazenado,22919.70093437521
81,TUCURUI,volume armazenado,39889.48099390081
82,FURNAS,volume armazenado,22950.0
82,TUCURUI,volume armazenado,39694.282058509874
83,FURNAS,volume armazenado,22950.0
83,TUCURUI,volume armazenado,39446.35588507989
84,FURNAS,volume armazenado,22950.0
84,TUCURUI,volume armazenado,39131.80559266836
85,FURNAS,volume armazenado,22932.13273012131
85,TUCURUI,volume armazenado,38799.98144266108
86,FURNAS,volume armazenado,22914.94763614262
86,TUCURUI,volume armazenado,38367.45498998788
87,FURNAS,volume armazenado,22898.83966226393
87,TUCURUI,volume armazenado,37870.089933537194
88,FURNAS,volume armazenado,22754.336725259695
88,TUCURUI,volume armazenado,37543.28931557025
89,FURNAS,volume armazenado,22719.100392283137
89,TUCURUI,volume armazenado,37011.46634683804
90,FURNAS,volume armazenado,22682.87669940658
90,TUCURUI,volume armazenado,36478.17780896848
91,FURNAS,volume armazenado,22486.022959449205
91,TUCURUI,volume armazenado,36120.72704936933
92,FURNAS,volume armazenado,22288.487043591827
92,TUCURUI,volume armazenado,35779.06861143767
93,FURNAS,volume armazenado,22250.84514261527
93,TUCURUI,volume armazenado,35223.618246276485
94,FURNAS,volume armazenado,22089.044111072966
94,TUCURUI,volume armazenado,34847.57675800649
95,FURNAS,volume armazenado,21939.704812479304
95,TUCURUI,volume armazenado,34515.26990263954
96,FURNAS,volume armazenado,21853.310587033095
96,TUCURUI,volume armazenado,34182.57528407259
97,FURNAS,volume armazenado,21993.434420035224
97,TUCURUI,volume armazenado,33665.49208474333
98,FURNAS,volume armazenado,22151.196596035225
98,TUCURUI,volume armazenado,33210.66466885729
99,FURNAS,volume armazenado,22308.294548035225
99,TUCURUI,volume armazenado,32818.700295886025
100,FURNAS,volume armazenado,22466.056724035225
100,TUCURUI,volume armazenado,32468.360756236852
101,FURNAS,volume armazenado,22624.519028035225
101,TUCURUI,volume armazenado,32135.20267332234
102,FURNAS,volume armazenado,22693.503991814763
102,TUCURUI,volume armazenado,31890.15681602234
103,FURNAS,volume armazenado,22676.803601836073
103,TUCURUI,volume armazenado,31708.440894494393
104,FURNAS,volume armazenado,22660.58791585738
104,TUCURUI,volume armazenado,31556.833139087525
105,FURNAS,volume armazenado,22644.24656587869
105,TUCURUI,volume armazenado,31415.935107706213
106,FURNAS,volume armazenado,22627.510272
106,TUCURUI,volume armazenado,31220.19565031297
107,FURNAS,volume armazenado,22788.485856
107,TUCURUI,volume armazenado,30686.726986584858
108,FURNAS,volume armazenado,22950.0
108,TUCURUI,volume armazenado,30096.688762315956
109,FURNAS,volume armazenado,22950.0
