periodo,submercado,nome,geracao
1,2,CAMARGOS,23.0
1,2,CAMARGOS,23.0
1,2,ITUTINGA,12.5
1,2,ITUTINGA,12.5
1,2,ITUTINGA,14.0
1,2,ITUTINGA,14.0
1,2,FUNIL_GRANDE,60.0
1,2,FUNIL_GRANDE,60.0
1,2,FUNIL_GRANDE,60.0
1,2,FURNAS,0.0
1,2,FURNAS,152.0
1,2,FURNAS,0.0
1,2,FURNAS,0.0
1,2,FURNAS,115.96321819999991
1,2,FURNAS,152.0
1,2,FURNAS,0.0
1,2,FURNAS,0.0
2,2,CAMARGOS,23.0
2,2,CAMARGOS,23.0
2,2,ITUTINGA,12.5
2,2,ITUTINGA,12.5
2,2,ITUTINGA,14.0
2,2,ITUTINGA,14.0
2,2,FUNIL_GRANDE,60.0
2,2,FUNIL_GRANDE,60.000000000000014
2,2,FUNIL_GRANDE,60.0
2,2,FURNAS,0.0
2,2,FURNAS,152.0
2,2,FURNAS,0.0
2,2,FURNAS,0.0
2,2,FURNAS,152.0
2,2,FURNAS,90.69704480000006
2,2,FURNAS,0.0
2,2,FURNAS,0.0
3,2,CAMARGOS,23.0
3,2,CAMARGOS,23.0
3,2,ITUTINGA,12.5
3,2,ITUTINGA,12.5
3,2,ITUTINGA,14.0
3,2,ITUTINGA,14.0
3,2,FUNIL_GRANDE,60.0
3,2,FUNIL_GRANDE,60.000000000000014
3,2,FUNIL_GRANDE,59.99999999999997
3,2,FURNAS,0.0
3,2,FURNAS,56.376354899999995
3,2,FURNAS,0.0
3,2,FURNAS,0.0
3,2,FURNAS,15.2
3,2,FURNAS,152.0
3,2,FURNAS,152.0
3,2,FURNAS,0.0
4,2,CAMARGOS,23.0
4,2,CAMARGOS,23.0
4,2,ITUTINGA,12.5
4,2,ITUTINGA,12.5
4,2,ITUTINGA,14.0
4,2,ITUTINGA,14.0
4,2,FUNIL_GRANDE,60.0
4,2,FUNIL_GRANDE,60.0
4,2,FUNIL_GRANDE,60.000000000000014
4,2,FURNAS,0.0
4,2,FURNAS,25.413506500000025
4,2,FURNAS,152.0
4,2,FURNAS,0.0
4,2,FURNAS,15.2
4,2,FURNAS,15.2
4,2,FURNAS,152.0
4,2,FURNAS,0.0
5,2,CAMARGOS,23.0
5,2,CAMARGOS,23.0
5,2,ITUTINGA,12.5
5,2,ITUTINGA,12.5
5,2,ITUTINGA,14.0
5,2,ITUTINGA,14.0
5,2,FUNIL_GRANDE,60.0
5,2,FUNIL_GRANDE,59.99999999999998
5,2,FUNIL_GRANDE,60.000000000000014
5,2,FURNAS,0.0
5,2,FURNAS,15.2
5,2,FURNAS,15.2
5,2,FURNAS,0.0
5,2,FURNAS,15.2
5,2,FURNAS,149.27631340000005
5,2,FURNAS,152.0
5,2,FURNAS,0.0
6,2,CAMARGOS,23.0
6,2,CAMARGOS,23.0
6,2,ITUTINGA,12.5
6,2,ITUTINGA,12.5
6,2,ITUTINGA,14.0
6,2,ITUTINGA,14.0
6,2,FUNIL_GRANDE,60.0
6,2,FUNIL_GRANDE,60.000000000000014
6,2,FUNIL_GRANDE,60.000000000000014
6,2,FURNAS,0.0
6,2,FURNAS,15.2
6,2,FURNAS,19.300716299999795
6,2,FURNAS,1.5548889737087912e-13
6,2,FURNAS,0.0
6,2,FURNAS,152.0
6,2,FURNAS,152.0
6,2,FURNAS,0.0
7,2,CAMARGOS,23.0
7,2,CAMARGOS,23.0
7,2,ITUTINGA,12.5
7,2,ITUTINGA,12.5
7,2,ITUTINGA,14.0
7,2,ITUTINGA,14.0
7,2,FUNIL_GRANDE,60.0
7,2,FUNIL_GRANDE,60.000000000000014
7,2,FUNIL_GRANDE,60.000000000000014
7,2,FURNAS,0.0
7,2,FURNAS,15.2
7,2,FURNAS,152.0
7,2,FURNAS,0.0
7,2,FURNAS,0.0
7,2,FURNAS,15.2
7,2,FURNAS,150.85488089999996
7,2,FURNAS,0.0
8,2,CAMARGOS,23.0
8,2,CAMARGOS,23.0
8,2,ITUTINGA,12.5
8,2,ITUTINGA,12.5
8,2,ITUTINGA,13.999999999999996
8,2,ITUTINGA,14.0
8,2,FUNIL_GRANDE,60.0
8,2,FUNIL_GRANDE,59.999999999999964
8,2,FUNIL_GRANDE,60.000000000000014
8,2,FURNAS,0.0
8,2,FURNAS,15.2
8,2,FURNAS,15.2
8,2,FURNAS,0.0
8,2,FURNAS,0.0
8,2,FURNAS,148.94154480000003
8,2,FURNAS,152.0
8,2,FURNAS,0.0
9,2,CAMARGOS,23.0
9,2,CAMARGOS,23.0
9,2,ITUTINGA,12.5
9,2,ITUTINGA,12.5
9,2,ITUTINGA,13.999999999999996
9,2,ITUTINGA,14.0
9,2,FUNIL_GRANDE,60.0
9,2,FUNIL_GRANDE,59.999999999999986
9,2,FUNIL_GRANDE,60.0
9,2,FURNAS,15.51205740000097
9,2,FURNAS,0.0
9,2,FURNAS,15.2
9,2,FURNAS,-1.5548889737087912e-14
9,2,FURNAS,-9.107272904072617e-13
9,2,FURNAS,152.0
9,2,FURNAS,152.0
9,2,FURNAS,0.0
10,2,CAMARGOS,23.0
10,2,CAMARGOS,23.0
10,2,ITUTINGA,12.5
10,2,ITUTINGA,12.5
10,2,ITUTINGA,14.0
10,2,ITUTINGA,14.0
10,2,FUNIL_GRANDE,60.0
10,2,FUNIL_GRANDE,60.0
10,2,FUNIL_GRANDE,60.000000000000014
10,2,FURNAS,152.0
10,2,FURNAS,0.0
10,2,FURNAS,0.0
10,2,FURNAS,-2.7988001526758247e-13
10,2,FURNAS,0.0
10,2,FURNAS,152.0
10,2,FURNAS,34.956875900000284
10,2,FURNAS,0.0
11,2,CAMARGOS,23.0
11,2,CAMARGOS,23.0
11,2,ITUTINGA,12.499999999999996
11,2,ITUTINGA,12.5
11,2,ITUTINGA,14.0
11,2,ITUTINGA,14.0
11,2,FUNIL_GRANDE,60.0
11,2,FUNIL_GRANDE,60.000000000000014
11,2,FUNIL_GRANDE,60.000000000000014
11,2,FURNAS,152.0
11,2,FURNAS,0.0
11,2,FURNAS,0.0
11,2,FURNAS,-3.807841260351056e-13
11,2,FURNAS,0.0
11,2,FURNAS,152.0
11,2,FURNAS,49.33857440000037
11,2,FURNAS,0.0
12,2,CAMARGOS,23.00000000000001
12,2,CAMARGOS,23.0
12,2,ITUTINGA,12.499999999999996
12,2,ITUTINGA,12.5
12,2,ITUTINGA,14.0
12,2,ITUTINGA,14.0
12,2,FUNIL_GRANDE,60.0
12,2,FUNIL_GRANDE,60.000000000000014
12,2,FUNIL_GRANDE,60.0
12,2,FURNAS,152.0
12,2,FURNAS,0.0
12,2,FURNAS,0.0
12,2,FURNAS,0.0
12,2,FURNAS,0.0
12,2,FURNAS,71.98183009999991
12,2,FURNAS,152.0
12,2,FURNAS,0.0
13,2,CAMARGOS,23.0
13,2,CAMARGOS,23.0
13,2,ITUTINGA,12.499999999999996
13,2,ITUTINGA,12.5
13,2,ITUTINGA,14.0
