periodo,submercado,nome,geracao
1,2,CAMARGOS,23.0
1,2,CAMARGOS,23.0
1,2,ITUTINGA,12.5
1,2,ITUTINGA,12.5
1,2,ITUTINGA,14.0
1,2,ITUTINGA,14.0
1,2,FUNIL_GRANDE,60.0
1,2,FUNIL_GRANDE,60.0
1,2,FUNIL_GRANDE,60.0
1,2,FURNAS,152.0
1,2,FURNAS,115.96321819999991
1,2,FURNAS,152.0
1,2,FURNAS,0.0
1,2,FURNAS,0.0
1,2,FURNAS,0.0
1,2,FURNAS,0.0
1,2,FURNAS,0.0
2,2,CAMARGOS,23.0
2,2,CAMARGOS,23.0
2,2,ITUTINGA,12.5
2,2,ITUTINGA,12.5
2,2,ITUTINGA,14.0
2,2,ITUTINGA,14.0
2,2,FUNIL_GRANDE,60.0
2,2,FUNIL_GRANDE,60.0
2,2,FUNIL_GRANDE,60.0
2,2,FURNAS,90.69704480000007
2,2,FURNAS,152.0
2,2,FURNAS,152.0
2,2,FURNAS,0.0
2,2,FURNAS,0.0
2,2,FURNAS,0.0
2,2,FURNAS,0.0
2,2,FURNAS,0.0
3,2,CAMARGOS,23.0
3,2,CAMARGOS,23.0
3,2,ITUTINGA,12.5
3,2,ITUTINGA,12.5
3,2,ITUTINGA,14.0
3,2,ITUTINGA,14.0
3,2,FUNIL_GRANDE,60.0
3,2,FUNIL_GRANDE,60.0
3,2,FUNIL_GRANDE,60.0
3,2,FURNAS,152.0
3,2,FURNAS,15.2
3,2,FURNAS,56.37635489999997
3,2,FURNAS,0.0
3,2,FURNAS,152.0
3,2,FURNAS,0.0
3,2,FURNAS,0.0
3,2,FURNAS,0.0
4,2,CAMARGOS,23.0
4,2,CAMARGOS,23.0
4,2,ITUTINGA,12.5
4,2,ITUTINGA,12.5
4,2,ITUTINGA,14.0
4,2,ITUTINGA,14.0
4,2,FUNIL_GRANDE,60.0
4,2,FUNIL_GRANDE,60.0
4,2,FUNIL_GRANDE,60.0
4,2,FURNAS,15.2
4,2,FURNAS,15.2
4,2,FURNAS,25.41350650000004
4,2,FURNAS,0.0
4,2,FURNAS,152.0
4,2,FURNAS,0.0
4,2,FURNAS,0.0
4,2,FURNAS,152.0
5,2,CAMARGOS,23.0
5,2,CAMARGOS,23.0
5,2,ITUTINGA,12.5
5,2,ITUTINGA,12.5
5,2,ITUTINGA,14.0
5,2,ITUTINGA,14.0
5,2,FUNIL_GRANDE,60.0
5,2,FUNIL_GRANDE,60.0
5,2,FUNIL_GRANDE,60.0
5,2,FURNAS,15.2
5,2,FURNAS,149.2763134
5,2,FURNAS,152.0
5,2,FURNAS,0.0
5,2,FURNAS,15.2
5,2,FURNAS,0.0
5,2,FURNAS,0.0
5,2,FURNAS,15.2
6,2,CAMARGOS,23.00000000000001
6,2,CAMARGOS,23.0
6,2,ITUTINGA,12.5
6,2,ITUTINGA,12.5
6,2,ITUTINGA,14.0
6,2,ITUTINGA,14.000000000000004
6,2,FUNIL_GRANDE,60.0
6,2,FUNIL_GRANDE,60.0
6,2,FUNIL_GRANDE,60.0
6,2,FURNAS,15.2
6,2,FURNAS,0.0
6,2,FURNAS,152.0
6,2,FURNAS,0.0
6,2,FURNAS,19.30071629999995
6,2,FURNAS,0.0
6,2,FURNAS,0.0
6,2,FURNAS,152.0
7,2,CAMARGOS,23.0
7,2,CAMARGOS,23.0
7,2,ITUTINGA,12.5
7,2,ITUTINGA,12.5
7,2,ITUTINGA,14.0
7,2,ITUTINGA,14.000000000000004
7,2,FUNIL_GRANDE,60.0
7,2,FUNIL_GRANDE,60.0
7,2,FUNIL_GRANDE,60.0
7,2,FURNAS,15.2
7,2,FURNAS,0.0
7,2,FURNAS,135.65488090000002
7,2,FURNAS,0.0
7,2,FURNAS,15.2
7,2,FURNAS,0.0
7,2,FURNAS,15.2
7,2,FURNAS,152.0
8,2,CAMARGOS,23.0
8,2,CAMARGOS,23.0
8,2,ITUTINGA,12.5
8,2,ITUTINGA,12.5
8,2,ITUTINGA,14.0
8,2,ITUTINGA,14.000000000000004
8,2,FUNIL_GRANDE,60.0
8,2,FUNIL_GRANDE,60.0
8,2,FUNIL_GRANDE,60.0
8,2,FURNAS,15.2
8,2,FURNAS,0.0
8,2,FURNAS,0.0
8,2,FURNAS,0.0
8,2,FURNAS,15.2
8,2,FURNAS,0.0
8,2,FURNAS,148.94154480000003
8,2,FURNAS,152.0
9,2,CAMARGOS,23.0
9,2,CAMARGOS,23.0
9,2,ITUTINGA,12.5
9,2,ITUTINGA,12.5
9,2,ITUTINGA,14.0
9,2,ITUTINGA,14.0
9,2,FUNIL_GRANDE,60.0
9,2,FUNIL_GRANDE,60.0
9,2,FUNIL_GRANDE,60.0
9,2,FURNAS,152.0
9,2,FURNAS,0.0
9,2,FURNAS,0.0
9,2,FURNAS,0.0
9,2,FURNAS,0.0
9,2,FURNAS,0.0
9,2,FURNAS,152.0
9,2,FURNAS,30.712057399999992
10,2,CAMARGOS,23.0
10,2,CAMARGOS,23.0
10,2,ITUTINGA,12.5
10,2,ITUTINGA,12.5
10,2,ITUTINGA,14.0
10,2,ITUTINGA,14.0
10,2,FUNIL_GRANDE,60.0
10,2,FUNIL_GRANDE,60.0
10,2,FUNIL_GRANDE,60.0
10,2,FURNAS,152.0
10,2,FURNAS,0.0
10,2,FURNAS,0.0
10,2,FURNAS,152.00000000000014
10,2,FURNAS,0.0
10,2,FURNAS,0.0
10,2,FURNAS,34.95687589999983
10,2,FURNAS,0.0
11,2,CAMARGOS,23.0
11,2,CAMARGOS,23.0
11,2,ITUTINGA,12.5
11,2,ITUTINGA,12.5
11,2,ITUTINGA,14.0
11,2,ITUTINGA,14.0
11,2,FUNIL_GRANDE,60.0
11,2,FUNIL_GRANDE,60.0
11,2,FUNIL_GRANDE,60.0
11,2,FURNAS,49.33857440000003
11,2,FURNAS,0.0
11,2,FURNAS,0.0
11,2,FURNAS,152.0
11,2,FURNAS,0.0
11,2,FURNAS,0.0
11,2,FURNAS,152.0
11,2,FURNAS,0.0
12,2,CAMARGOS,23.0
12,2,CAMARGOS,23.0
12,2,ITUTINGA,12.5
12,2,ITUTINGA,12.5
12,2,ITUTINGA,14.0
12,2,ITUTINGA,14.0
12,2,FUNIL_GRANDE,60.0
12,2,FUNIL_GRANDE,60.0
12,2,FUNIL_GRANDE,60.0
12,2,FURNAS,152.0
12,2,FURNAS,0.0
12,2,FURNAS,0.0
12,2,FURNAS,152.0
12,2,FURNAS,0.0
12,2,FURNAS,71.98183009999991
12,2,FURNAS,0.0
12,2,FURNAS,0.0
13,2,CAMARGOS,23.0
13,2,CAMARGOS,23.0
13,2,ITUTINGA,12.5
13,2,ITUTINGA,12.5
13,2,ITUTINGA,14.0
13,2,ITUTINGA,14.0
13,2,FUNIL_GRANDE,60.0
13,2,FUNIL_GRANDE,60.0
13,2,FUNIL_GRANDE,60.0
13,2,FURNAS,100.40310739999995
13,2,FURNAS,0.0
13,2,FURNAS,0.0
