periodo,cmo,submercado
1,4000.0,1
2,199.99999999999994,1
3,199.99999999999994,1
4,199.99999999999994,1
5,199.99999999999994,1
6,199.99999999999994,1
7,199.99999999999994,1
8,199.99999999999994,1
9,199.99999999999994,1
10,199.99999999999994,1
11,199.99999999999994,1
12,199.99999999999994,1
13,199.99999999999994,1
14,199.99999999999994,1
15,199.99999999999994,1
16,199.99999999999994,1
17,199.99999999999994,1
18,199.99999999999994,1
19,199.99999999999994,1
20,199.99999999999994,1
21,199.99999999999994,1
22,199.99999999999994,1
23,200.0,1
24,199.99999999999994,1
25,199.99999999999994,1
26,200.0,1
27,199.99999999999994,1
28,200.0,1
29,200.0,1
30,200.0,1
31,200.0,1
32,199.99999999999994,1
33,199.99999999999994,1
34,199.99999999999994,1
35,200.0,1
36,200.0,1
37,200.0,1
38,200.0,1
39,200.0,1
40,200.0,1
41,200.0,1
42,200.0,1
43,199.99999999999994,1
44,199.99999999999994,1
45,199.99999999999994,1
46,200.0,1
47,200.0,1
48,199.99999999999994,1
49,199.99999999999994,1
50,199.99999999999994,1
51,200.0,1
52,200.0,1
53,200.0,1
54,199.99999999999994,1
55,199.99999999999994,1
56,199.99999999999994,1
57,199.99999999999994,1
58,199.99999999999994,1
59,199.99999999999994,1
60,199.99999999999994,1
61,199.99999999999994,1
62,199.99999999999994,1
63,199.99999999999994,1
64,200.0,1
65,200.0,1
66,200.0,1
67,200.0,1
68,200.0,1
69,200.0,1
70,200.0,1
71,199.99999999999994,1
72,199.99999999999994,1
73,199.99999999999994,1
74,199.99999999999994,1
75,200.0,1
76,199.99999999999994,1
77,199.99999999999994,1
78,200.0,1
79,199.99999999999994,1
80,200.0,1
81,199.99999999999994,1
82,199.99999999999994,1
83,199.99999999999994,1
84,199.99999999999994,1
85,199.99999999999994,1
86,199.99999999999994,1
87,200.0,1
88,200.0,1
89,199.99999999999994,1
90,200.0,1
91,199.99999999999994,1
92,199.99999999999994,1
93,200.0,1
94,200.0,1
95,199.99999999999994,1
96,199.99999999999994,1
97,199.99999999999994,1
98,199.99999999999994,1
99,199.99999999999994,1
100,199.99999999999994,1
101,199.99999999999994,1
102,199.99999999999994,1
103,199.99999999999994,1
104,199.99999999999994,1
105,199.99999999999994,1
106,199.99999999999994,1
107,199.99999999999994,1
108,199.99999999999994,1
109,199.99999999999994,1
110,199.99999999999994,1
111,199.99999999999994,1
112,199.99999999999994,1
113,199.99999999999994,1
114,199.99999999999994,1
115,199.99999999999994,1
116,199.99999999999994,1
117,199.99999999999994,1
118,199.99999999999994,1
119,199.99999999999994,1
120,199.99999999999994,1
121,199.99999999999994,1
122,199.99999999999994,1
123,199.99999999999994,1
124,199.99999999999994,1
125,199.99999999999994,1
126,199.99999999999994,1
127,199.99999999999994,1
128,199.99999999999994,1
129,199.99999999999994,1
130,199.99999999999994,1
131,199.99999999999994,1
132,199.99999999999994,1
133,199.99999999999994,1
134,199.99999999999994,1
135,199.99999999999994,1
136,199.99999999999994,1
137,199.99999999999994,1
138,199.99999999999994,1
139,199.99999999999994,1
140,199.99999999999994,1
141,199.99999999999994,1
142,199.99999999999994,1
143,200.28742114375112,1
144,199.99999999999994,1
145,199.99999999999994,1
146,199.99999999999994,1
147,199.99999999999994,1
148,199.99999999999994,1
149,199.99999999999994,1
150,199.99999999999994,1
151,199.99999999999994,1
152,199.99999999999994,1
153,199.99999999999994,1
154,199.99999999999994,1
155,199.99999999999994,1
156,199.99999999999994,1
157,199.99999999999994,1
158,199.99999999999994,1
159,199.99999999999994,1
160,199.99999999999994,1
161,199.99999999999994,1
162,199.99999999999994,1
163,199.99999999999994,1
164,199.99999999999994,1
165,199.99999999999994,1
166,199.99999999999994,1
167,199.99999999999994,1
168,199.99999999999994,1
