Estagio;Usina;Termo_indep;coefs;corte
1;FURNAS;77379075.86;-342.94;1
1;FURNAS;73905040.69;-171.47;2
1;FURNAS;73922114.01;-171.47;3
1;TUCURUI;77379075.86;-244.24;1
1;TUCURUI;73905040.69;-122.12;2
1;TUCURUI;73922114.01;-122.12;3
